puzzle,solution
005300000800000020070010500400005300010070006003200080060500009004000030000009700,145327698839456127276918543487695312512874936963231784721583469394762851658149273
000000070010904008009000000005001700003009600100067009000000004082046000300080000,234618975517934268869275341695421783473859612128367459756193824982546137341782596
010000006000200000500610930720000000000009040000000805100040500908007003070100000,412398756639275418587614932724851369856739241391426875163942587948567123275183694
070100000000006003009000054000600085000820040017300000002509060006002000090000000,274135698581946273639278154423691785965827341817354926342519867156782439798463512
000100000000020007106079030004001500305000006001500320000090060070000000503800000,237158694849623157156479832964231578325987416781546329418795263672314985593862741
000060000800004000002500390020001950900070000000000230700090640000700003000300500,379862415851934726462517398623481957945273861187659234738195642594726183216348579
094003000000910000130000200040730600008000010000400500203006100060000040000020000,894263751527918436136574289945731628378652914612489573253846197761395842489127365
000900601006003080040000030002001300080070000500000092003780500000000010920006000,238957641796143285145862937472691358389275164561438792613784529857329416924516873
000600010001000029002070300004306000009000507800000064420050000000900000007063000,398642715741835629652179348574396182269418537813527964426751893135984276987263451
000710040000004002800000000000605109060001000002000000000000070209070000043006015,925718346316954782874362591437685129568291437192437658681549273259173864743826915
560008002008060500009040000005007460030005800100000000000000034820016000000000000,567938142248761593319542786985327461436195827172684359651879234823416975794253618
700000204060900050400170090158000060000600400000050007000360000002000000000091570,789536214361924758425178396158247963273619485694853127517362849942785631836491572
060070040100080002000400010000009000005840300690300007080000060009000200000050074,962571843147683952853492716314729685725846391698315427481237569579164238236958174
090000005800600074070030806002700508600542007007003000004000000000095000300008000,296874315813659274475231896932716548681542937547983162154327689768195423329468751
000300000000096001803010604102000500000250007009060010007000200020000000900800056,716348925254796381893512674142987563368251497579463812687135249425679138931824756
600010000800040163000080400107000090503070020000005000000000800000001000080060042,674513289825749163319286457147628395593174628268935714756492831432851976981367542
007000563020000000000090000061000000000006200005400780000784001006500802000000040,917248563624153978583697124761825439849376215235419786392784651476531892158962347
030400007540090000007000180000706200600200030800030000000005002009004010050070400,136482597548197623927653184394716258675248931812539746481965372769324815253871469
001040060009000000400500030900020350300901000027000009070250000000007600000800045,251348967739162584468579132916724358345981276827635419174256893583497621692813745
700000000600003405090000620905000008004090002030500040000007000007805000000020014,741256389682913475593478621925764138874391562136582947269147853417835296358629714
000000900000010050004730800750002000009087006008000009060000010800070620005300000,572846931683219457194735862756492183329187546418653279967528314831974625245361798
008900020500030000000007801002080007003200006000000180000095010004070000060400000,678914325541832769239567841412689537783251496956743182827395614394176258165428973
800050000109040500300600800001000050090000730000024009000100300060075020000002007,876259413129348576354617892741963258692581734538724169287196345463875921915432687
540006800000100000000000034600000200000001080270090005460050900080000007003400000,541736892832149756796825134619584273354271689278693415467358921185962347923417568
800050000020000000309000017005004800080003002000000109500008603000760000000300000,816257394724931568359846217275194836981673452643582179597418623432765981168329745
300000004000000090107900850000000102700002040000096000006070005008650001000100400,359867214864521397127943856693485172785312649241796583416278935938654721572139468
003020000500000006060070901700001300009000050080002009900300400008006000004000700,193628574547193826862475931726951348319864257485732619951387462278546193634219785
204000000000000001050007400030000018009004700060800009300060000910000203000002800,294183675673245981851697432432976518189534726765821349328769154917458263546312897
000070040009400500070000000805063200003050000000024005000036000007000018500000604,652378149389412567174695823845963271923751486716824935498136752267549318531287694
040800027600090010030700000000000036000013002200060500026070000309004050500000000,941856327657392814832741695495287136768513942213469578126975483389624751574138269
000006008004900500130070090040000700007091030008000050820400903070230000000000000,792156348684923517135874692549382761267591834318647259821465973476239185953718426
040000002097000003000300100000806500068200700500000004000760000002000010850090000,346519872197628453285374196739846521468251739521937684913765248672483915854192367
000000100000050630090403005070306012040200070000005000034090000800004000021000800,357962184482751639196483725578346912643219578219875463734698251865124397921537846
000302480001040000000005000450000000008090030100400200209060700000000049000900008,975312486381649572642785913456123897728596134193478265239864751867251349514937628
000840560003009000000000003070000000800600090506900020040507000020080004000400706,197843562263759418485261973972138645814625397536974821648517239729386154351492786
100400520000000600032500008040000000020179000008205010000700300600001050000060000,167498523985327641432516978741683295526179834398245716814752369679831452253964187
000000060002900000190030208000000002060085400801740000009000316000300005200010004,387421569642958137195637248574163982963285471821749653459872316716394825238516794
106800070000009000890000500000780069008000001270000083000005000000630000062070000,126853974735469128894127536513784269648392751279516483381245697957631842462978315
000400060072008000900000700030020050000304200080000000804000009000600010009040005,351497862672138594948562731437821956196354278285976143864715329523689417719243685
760000001025607900000090000001000200030200780270000106000009000000500000007040003,769482351125637948483195672851763294936214785274958136518329467342576819697841523
008002900400000002009000460050040000000080200000001050170000003600300004000850600,518462937467935182329178465853246719791583246246791358175624893682319574934857621
600300900009000004004006800100000020080060001006002040000000500503007000700090000,615348972839725164274916835147853629382469751956172348428631597593287416761594283
000350012600708500000000000000010020750000003000004008001000000080600000420005900,849356712613728549275491386368917425754862193192534678531279864987643251426185937
000000400002000036068100002089360000076018050000007000005076009000000500800000000,731692485952784136468153792189365274276418953543927618315276849694831527827549361
000500600100400030700010020000005003000070004092003080061700000000004000030080009,328597641159462738746318925874925163513876294692143587461739852987254316235681479
005700000460900000000003010008000005600097400000000000041002030030084500000000200,315768924467921853829453716198246375653197482274835169941572638732684591586319247
800001000001700008649000005000004603030070000080200000002000080000400059000009201,873951462521746938649328175715894623236175894984263517492517386168432759357689241
000060920060250000000107800008070000097003005506000000000610000020000100000080040,175468923863259471942137856218576394497823615536941287789614532324795168651382749
020600090000930600007002000500008070030090000790400001000000040104000000070020109,325671498418935627967842315546318972831297564792456831259183746184769253673524189
000000000461000000000020007900002600150040000007000150000090520090008030004003000,279865341461739285835421967948512673156347892327986154713694528592178436684253719
007000600000030090000560073009000008040300005805040300006000050073400900900002000,537294681621837594498561273369125748742389165815746329186973452273458916954612837
